NIVEL=1
CAMINO=1
6;14
6;13
6;12
6;11
6;10
6;9
6;8
6;7
6;6
6;5
6;4
6;3
6;2
6;1
6;0
NIVEL=2
CAMINO=1
6;0
6;1
6;2
6;3
6;4
6;5
6;6
6;7
6;8
6;9
6;10
6;11
6;12
6;13
6;14
NIVEL=3
CAMINO=1
0;4
1;4
2;4
3;4
4;4
5;4
6;4
7;4
8;4
9;4
10;4
11;4
12;4
13;4
14;4
15;4
16;4
17;4
18;4
19;4
CAMINO=2
0;15
1;15
2;15
3;15
4;15
5;15
6;15
7;15
8;15
9;15
10;15
11;15
12;15
13;15
14;15
15;15
16;15
17;15
18;15
19;15
NIVEL=4
CAMINO=1
19;5
18;5
17;5
16;5
15;5
14;5
13;5
12;5
11;5
10;5
9;5
8;5
7;5
6;5
5;5
4;5
3;5
2;5
1;5
0;5
CAMINO=2
19;16
18;16
17;16
16;16
15;16
14;16
13;16
12;16
11;16
10;16
9;16
8;16
7;16
6;16
5;16
4;16
3;16
2;16
1;16
0;16
